,precision,recall,f1-score,support
291,1.0,0.3333333333333333,0.5,3.0
292,0.875,0.7777777777777778,0.8235294117647058,9.0
293,1.0,0.8,0.8888888888888888,10.0
294,1.0,1.0,1.0,3.0
295,0.7586206896551724,0.9777777777777777,0.8543689320388349,45.0
296,1.0,0.7647058823529411,0.8666666666666667,17.0
297,1.0,1.0,1.0,3.0
298,1.0,0.625,0.7692307692307693,16.0
299,1.0,0.6666666666666666,0.8,3.0
300,1.0,0.8571428571428571,0.9230769230769231,7.0
301,0.974025974025974,0.9259259259259259,0.9493670886075949,81.0
302,0.4868073878627968,0.9919354838709677,0.6530973451327433,372.0
303,0.9463087248322147,0.9929577464788732,0.9690721649484536,284.0
304,1.0,0.99375,0.9968652037617555,160.0
305,0.5418994413407822,0.42358078602620086,0.47549019607843135,229.0
306,0.7992310978214439,0.9646816189739623,0.8741969396098587,3879.0
307,0.8240368882939164,0.8091134803563604,0.8165070007369197,6847.0
308,0.6828871201157742,0.6024577082668369,0.6401560115312871,6266.0
309,0.8691489361702127,0.9691577698695136,0.9164329781267526,843.0
310,0.0,0.0,0.0,15.0
311,1.0,0.03508771929824561,0.06779661016949153,57.0
312,0.0,0.0,0.0,90.0
313,0.5255338904363974,0.8126346015793252,0.6382858753876516,1393.0
314,0.8377772798565987,0.9852437417654809,0.905546137079196,3795.0
